21.0  3647.7  
1329.0  1317.0  3647.7  
1326.0  1321.0  3647.7  
1324.0  1313.0  3647.7  
1328.0  1312.0  3647.7  
1323.0  1322.0  3647.7  
1320.0  1315.0  3647.7  
1326.0  1306.0  3647.7  
1324.0  1309.0  3647.7  
1328.0  1317.0  3647.7  
1323.0  1319.0  3647.7  
1324.0  1323.0  3647.7  
1327.0  1317.0  3647.7  
1321.0  1326.0  3647.7  
1328.0  1320.0  3647.7  
1326.0  1322.0  3647.7  
1323.0  1314.0  3647.7  
1332.0  1307.0  3647.7  
1326.0  1303.0  3647.7  
1330.0  1309.0  3647.7  
1330.0  1313.0  3647.7  
1327.0  1304.0  3647.7  
1330.0  1316.0  3647.7  
1327.0  1315.0  3647.7  
1324.0  1316.0  3647.7  
1329.0  1307.0  3647.7  
1322.0  1300.0  3647.7  
1323.0  1301.0  3647.7  
1329.0  1307.0  3647.7  
1327.0  1304.0  3647.7  
1327.0  1307.0  3647.7  
1330.0  1309.0  3647.7  
1327.0  1314.0  3647.7  
1328.0  1303.0  3647.7  
1326.0  1303.0  3647.7  
1322.0  1317.0  3647.7  
1324.0  1305.0  3647.7  
1326.0  1328.0  3647.7  
1326.0  1312.0  3647.7  
1326.0  1311.0  3647.7  
1328.0  1324.0  3647.7  
1321.0  1313.0  3647.7  
1323.0  1317.0  3647.7  
1317.0  1321.0  3647.7  
1322.0  1317.0  3647.7  
1324.0  1317.0  3647.7  
1323.0  1330.0  3647.7  
1329.0  1316.0  3647.7  
1327.0  1314.0  3647.7  
1322.0  1319.0  3647.7  
1321.0  1322.0  3647.7  
1324.0  1315.0  3647.7  
1322.0  1314.0  3647.7  
1320.0  1327.0  3647.7  
1328.0  1316.0  3647.7  
1328.0  1311.0  3647.7  
1322.0  1306.0  3647.7  
1331.0  1322.0  3647.7  
1325.0  1313.0  3647.7  
1328.0  1319.0  3647.7  
1326.0  1315.0  3647.7  
1323.0  1316.0  3647.7  
1325.0  1322.0  3647.7  
1324.0  1309.0  3647.7  
1326.0  1313.0  3647.7  
1328.0  1309.0  3647.7  
1325.0  1306.0  3647.7  
1326.0  1313.0  3647.7  
1325.0  1304.0  3647.7  
1330.0  1318.0  3647.7  
1325.0  1303.0  3647.7  
1325.0  1295.0  3647.7  
1322.0  1309.0  3647.7  
1333.0  1310.0  3647.7  
1330.0  1314.0  3647.7  
1326.0  1306.0  3647.7  
1329.0  1304.0  3647.7  
1331.0  1304.0  3647.7  
1326.0  1318.0  3647.7  
1329.0  1313.0  3647.7  
1324.0  1314.0  3647.7  
1324.0  1309.0  3647.7  
1325.0  1315.0  3647.7  
1326.0  1317.0  3647.7  
1327.0  1306.0  3647.7  
1326.0  1313.0  3647.7  
1326.0  1311.0  3647.7  
1326.0  1310.0  3647.7  
1328.0  1323.0  3647.7  
1320.0  1308.0  3647.7  
1327.0  1309.0  3647.7  
1324.0  1312.0  3647.7  
1321.0  1310.0  3647.7  
1323.0  1314.0  3647.7  
1323.0  1325.0  3647.7  
1326.0  1318.0  3647.7  
1329.0  1321.0  3647.7  
1323.0  1316.0  3647.7  
1326.0  1322.0  3647.7  
1322.0  1331.0  3647.7  
1329.0  1308.0  3647.7  
1327.0  1324.0  3647.7  
1325.0  1313.0  3647.7  
1325.0  1323.0  3647.7  
1323.0  1316.0  3647.7  
1331.0  1323.0  3647.7  
1326.0  1310.0  3647.7  
1324.0  1323.0  3647.7  
1327.0  1307.0  3647.7  
1323.0  1312.0  3647.7  
1323.0  1314.0  3647.7  
1327.0  1306.0  3647.7  
1328.0  1302.0  3647.7  
1325.0  1309.0  3647.7  
1325.0  1304.0  3647.7  
1327.0  1302.0  3647.7  
1325.0  1305.0  3647.7  
1332.0  1311.0  3647.7  
1324.0  1312.0  3647.7  
1327.0  1314.0  3647.7  
1331.0  1318.0  3647.7  
1328.0  1303.0  3647.7  
1324.0  1305.0  3647.7  
1327.0  1315.0  3647.7  
1329.0  1308.0  3647.7  
1328.0  1310.0  3647.7  
1327.0  1305.0  3647.7  
1326.0  1303.0  3647.7  
1326.0  1321.0  3647.7  
1327.0  1309.0  3647.7  
1320.0  1312.0  3647.7  
1325.0  1324.0  3647.7  
1327.0  1307.0  3647.7  
1323.0  1313.0  3647.7  
1322.0  1322.0  3647.7  
1326.0  1320.0  3647.7  
1328.0  1312.0  3647.7  
1324.0  1322.0  3647.7  
1321.0  1317.0  3647.7  
1319.0  1322.0  3647.7  
1326.0  1317.0  3647.7  
1327.0  1314.0  3647.7  
1319.0  1302.0  3647.7  
1328.0  1327.0  3647.7  
1327.0  1331.0  3647.7  
1325.0  1316.0  3647.7  
1324.0  1317.0  3647.7  
1320.0  1319.0  3647.7  
1326.0  1312.0  3647.7  
1325.0  1312.0  3647.7  
1320.0  1321.0  3647.7  
1323.0  1311.0  3647.7  
1327.0  1321.0  3647.7  
1328.0  1309.0  3647.7  
1331.0  1311.0  3647.7  
1326.0  1308.0  3647.7  
1327.0  1303.0  3647.7  
1326.0  1313.0  3647.7  
1322.0  1310.0  3647.7  
1323.0  1304.0  3647.7  
1327.0  1314.0  3647.7  
1331.0  1304.0  3647.7  
1325.0  1317.0  3647.7  
1322.0  1307.0  3647.7  
1330.0  1303.0  3647.7  
1325.0  1311.0  3647.7  
1324.0  1300.0  3647.7  
1328.0  1309.0  3647.7  
1322.0  1301.0  3647.7  
1322.0  1296.0  3647.7  
1323.0  1306.0  3647.7  
1322.0  1311.0  3647.7  
1326.0  1307.0  3647.7  
1326.0  1323.0  3647.7  
1322.0  1318.0  3647.7  
1332.0  1315.0  3647.7  
1324.0  1306.0  3647.7  
1316.0  1319.0  3647.7  
1325.0  1323.0  3647.7  
1325.0  1320.0  3647.7  
1331.0  1315.0  3647.7  
1326.0  1326.0  3647.7  
1325.0  1324.0  3647.7  
1330.0  1318.0  3647.7  
1325.0  1315.0  3647.7  
1323.0  1314.0  3647.7  
1326.0  1314.0  3647.7  
1323.0  1321.0  3647.7  
1330.0  1311.0  3647.7  
1330.0  1320.0  3647.7  
1325.0  1312.0  3647.7  
1331.0  1325.0  3647.7  
1332.0  1317.0  3647.7  
1329.0  1306.0  3647.7  
1326.0  1326.0  3647.7  
1322.0  1306.0  3647.7  
1330.0  1316.0  3647.7  
1327.0  1310.0  3647.7  
1326.0  1305.0  3647.7  
